"","env1","env2","env3","env4","env5","env6","lat","long"
"s__Brevundimonas_kwangchunensis",0.27208,0.29601,-0.35747,-0.09397,0.05689,0.078,-0.00602,0.38057
"s__un_g__Microvirga",-0.35191,0.59527,0.20303,0.34288,-0.26133,0.10058,-0.2555,0.29713
"s__Microbacterium_arthrosphaerae",0.02147,0.27023,0.25443,-0.03552,-0.00239,-0.48165,0.12154,0.23774
"s__Bosea_massiliensis",0.04602,-0.2868,-0.62594,0.09018,0.24038,0.07758,0.19803,-0.06624
"s__un_f__Bacillaceae_1",0.16377,0.45314,0.22689,0.07307,-0.13475,0.14509,-0.25906,0.06609
"s__Rhizobium_rosettiformans",0.36529,0.01799,0.19668,0.28946,-0.24506,-0.7307,0.03081,0.41412
"s__un_g__Intrasporangium",0.17457,-0.05419,-0.04791,-0.62405,-0.08092,0.2805,0.068,-0.2369
"s__Pseudonocardia_xinjiangensis",-0.15453,0.15627,0.01961,-0.42303,-0.1536,0.11365,0.16277,0.14801
"s__Cellulomonas_hominis",-0.1653,0.02449,-0.00834,0.02783,-0.14515,-0.07925,-0.31276,0.03555
"s__Blastococcus_saxobsidens",-0.49939,0.22545,0.11931,-0.07062,-0.32897,0.005,-0.33125,-0.4471
"s__un_g__Saccharothrix",-0.02848,0.26813,-0.21079,-0.43764,-0.25588,-0.10615,-0.05365,-0.06667
"s__un_f__Rhodocyclaceae",-0.14782,-0.61742,-0.33715,-0.1401,0.17556,-0.35624,0.33174,-0.50105
"s__Ilumatobacter_nonamiense",0.19825,0.24896,0.61212,0.07872,-0.03308,-0.2854,0.00247,0.06059
"s__Chryseobacterium_defluvii",-0.2094,0.35909,0.11388,-0.01448,-0.50375,-0.09253,0.0538,0.14429
"s__un_g__Planifilum",-0.33756,0.24444,0.30101,0.05559,-0.57302,-0.12004,0.05283,-0.51989
"s__un_f__Caulobacteraceae",0.10861,-0.19273,-0.2793,-0.03194,0.21486,-0.11742,0.26725,-0.01119
"s__Terribacillus_goriensis",0.0785,0.28975,0.6652,0.25132,-0.32189,-0.50844,-0.12992,0.10545
"s__un_g__Spartobacteria_genera_incertae_sedis",-0.35327,0.11182,0.31648,0.01841,-0.00771,-0.00375,-0.09354,-0.37736
"s__Hyphomicrobium_zavarzinii",0.39408,-0.07433,-0.36541,0.05652,0.15216,0.02811,-0.16235,0.09727
"s__Altererythrobacter_troitsensis",0.34715,0.30932,-0.13474,0.03434,-0.18194,0.07065,0.02757,0.26112
"s__un_f__Cystobacteraceae",0.55158,0.18012,0.37935,0.09473,0.06397,-0.39936,0.09715,0.12936
"s__Bacillus_infantis",-0.3467,0.12139,0.52233,0.44807,-0.2452,-0.25899,-0.28256,-0.26141
"s__un_p__Verrucomicrobia",0.00641,0.1353,0.5482,0.26053,-0.18736,-0.46021,-0.223,-0.21753
"s__Mesorhizobium_silamurunense",-0.23058,-0.21713,0.03548,0.02183,0.39875,-0.28059,0.27607,-0.2217
"s__Blastopirellula_cremea",-0.14781,0.16227,0.43773,0.52325,-0.12578,-0.20587,-0.23115,-0.2202
"s__Labilithrix_luteola",-0.2084,0.07416,0.26745,-0.08436,0.19366,0.13359,0.37969,0.01307
"s__Nonomuraea_muscovyensis",-0.00624,-0.08871,0.19295,0.13757,-0.05872,-0.27723,0.52573,-0.30314
"s__Paenibacillus_terrae",-0.37216,0.3657,0.34406,-0.09293,0.02086,-0.29088,-0.02074,0.28227
"s__un_g__Chryseobacterium",0.07898,0.18997,0.47387,0.25457,0.13936,-0.0953,-0.02565,0.0681
"s__un_f__Paenibacillaceae_2",0.0677,0.33645,0.21842,0.15524,-0.43666,-0.13496,-0.21382,0.05665
"s__Paenibacillus_urinalis",-0.22257,0.23419,0.43422,0.22338,-0.33627,-0.01841,-0.62255,-0.1049
"s__Streptomyces_chrysomallus_subsp._chrysomallus",-0.47713,0.02506,0.26193,0.32824,0.0965,0.17365,-0.27121,-0.09763
"s__Opitutus_terrae",-0.13911,0.04677,0.44259,0.24059,-0.06672,-0.09735,-0.04488,-0.20369
"s__Mycobacterium_canariasense",0.37344,-0.21999,0.10984,-0.29618,0.23594,0.10509,0.01539,-0.09977
"s__Nocardioides_marinquilinus",0.30419,0.0457,0.34417,-0.04398,-0.41298,-0.03523,-0.21719,-0.4469
"s__Caenimonas_terrae",0.08851,-0.22348,0.09589,0.0447,0.06603,0.01926,0.1243,-0.16033
"s__un_g__Subdivision3_genera_incertae_sedis",-0.04106,-0.16548,-0.07929,-0.37029,-0.10227,0.05284,0.23724,0.29442
"s__Nocardioides_iriomotensis",0.14528,-0.46547,-0.34489,-0.1782,-0.19557,-0.29949,0.38761,-0.17031
"s__un_g__Conexibacter",-0.07972,0.16971,-0.05229,0.30346,-0.1622,0.12773,-0.1583,-0.02219
"s__Flavobacterium_saliperosum",0.10367,-0.2142,-0.15178,-0.08395,0.14768,0.17932,0.07087,-0.33846
"s__Paenibacillus_brasilensis",-0.40376,0.35903,0.22423,0.41621,-0.26021,0.0867,-0.14115,-0.05613
"s__un_o__Rhodospirillales",0.05786,0.06463,0.35898,-0.31408,-0.23295,-0.248,0.17847,-0.2638
"s__un_f__Sinobacteraceae",0.20272,-0.42789,-0.26851,0.03796,0.08459,-0.02863,0.31503,-0.33029
"s__Agromyces_subbeticus",0.15588,0.20798,0.13628,0.17421,-0.0178,0.07831,0.01715,0.4698
"s__Cryobacterium_arcticum",0.21944,-0.29683,0.14565,0.37783,-0.08795,-0.57214,0.17058,-0.38036
"s__Streptomyces_seranimatus",-0.34222,-0.14259,-0.09183,0.04383,-0.18428,-0.10872,-0.01636,-0.43025
"s__un_f__Nocardioidaceae",-0.12924,0.09034,-0.52563,-0.60242,0.15695,0.47409,0.12962,0.31959
"s__Paenisporosarcina_macmurdoensis",0.1448,-0.29662,0.37216,0.23726,-0.19305,0.01903,0.03357,-0.23266
"s__un_f__Myxococcaceae",0.27118,-0.13168,-0.05446,-0.15261,-0.18468,-0.44181,0.33682,-0.22207
"s__Cohnella_panacarvi",-0.55234,0.19671,0.15129,0.50763,-0.36236,-0.06491,-0.00345,-0.16269
"s__Cupriavidus_necator",0.06961,0.42428,0.40387,0.58043,-0.34113,-0.17393,-0.25943,-0.02011
"s__un_f__Flammeovirgaceae",-0.37262,0.14127,0.00195,0.37871,-0.11407,0.04885,-0.12048,0.10458
"s__un_g__Geodermatophilus",-0.23745,0.07678,0.06911,0.19447,-0.4352,-0.27674,0.04337,-0.36258
"s__un_f__Propionibacteriaceae",-0.44939,0.1871,0.30019,0.14332,-0.2322,-0.051,-0.20893,0.0598
"s__un_f__Caldilineaceae",-0.15923,-0.13686,0.19557,0.20463,-0.36656,-0.35006,0.06031,-0.44633
"s__Duganella_phyllosphaerae",0.12196,-0.34695,0.17487,-0.28049,-0.03993,-0.64159,0.38365,-0.25561
"s__Bacillus_litoralis",-0.10435,0.47206,0.23967,0.18612,-0.65299,0.26278,-0.45614,0.21999
"s__un_g__Haliangium",-0.21506,0.02109,0.36497,0.42432,-0.1691,-0.24913,-0.15306,-0.05905
"s__un_g__Acidovorax",0.00615,0.28939,-0.07704,-0.09573,-0.37417,-0.33864,0.11688,0.40929
"s__Reyranella_massiliensis",0.62339,-0.18363,0.12883,-0.1547,-0.0638,-0.07281,0.012,0.0908
"s__Agromyces_indicus",-0.43344,0.30876,0.03051,-0.02353,-0.35997,0.08618,0.04603,-0.19809
"s__un_g__Cystobacter",-0.42301,0.23478,0.16307,-0.02998,-0.27927,-0.15094,0.00596,-0.02118
"s__Bradyrhizobium_daqingense",-0.07426,0.36088,-0.12746,-0.33002,0.04192,0.14752,-0.24435,0.21009
"s__un_g__Sporichthya",-0.35642,0.29493,0.20936,0.39716,-0.33778,0.23043,-0.03891,0.12807
"s__Pirellula_staleyi",-0.04326,0.0625,0.12644,0.40239,0.16697,-0.25473,-0.24948,0.10625
"s__Bacillus_kokeshiiformis",-0.58311,0.48194,0.33556,0.08409,-0.32839,0.12487,-0.30108,0.04712
"s__Tumebacillus_ginsengisoli",0.36099,-0.20245,0.06773,0.24354,-0.37925,-0.34648,0.12625,-0.24167
"s__un_g__Gp3",0.07318,-0.09673,0.28551,0.0475,-0.15804,-0.48391,0.37953,0.13766
"s__un_p__Actinobacteria",0.00153,0.045,0.56294,0.06501,-0.27264,-0.40652,-0.11621,-0.24515
"s__Pseudonocardia_seranimata",0.1495,0.30857,0.00839,0.36564,-0.01022,0.0112,-0.34895,-0.12862
"s__un_g__Dokdonella",0.22581,0.1609,-0.15845,0.05534,0.02442,0.12883,-0.02383,0.25341
"s__un_g__Brevundimonas",0.14454,-0.11165,-0.16832,0.24548,-0.35613,-0.30077,-0.01478,-0.15986
"s__un_g__Methylotenera",0.12273,-0.06675,0.25476,0.47659,-0.021,-0.22141,0.17313,0.07222
"s__Microbacterium_fluvii",0.01382,-0.27474,0.02444,0.00318,-0.01995,-0.31432,0.28229,0.39317
"s__Nocardioides_caricicola",-0.08584,-0.048,0.21937,0.54871,-0.32513,-0.27792,-0.34865,-0.13582
"s__Paenibacillus_prosopidis",-0.11431,-0.02761,0.36663,0.06466,0.15462,-0.54666,0.3722,-0.02249
"s__un_f__Chitinophagaceae",-0.36657,0.09444,0.16395,0.19848,-0.04176,-0.12062,-0.04689,-0.13832
"s__Bacillus_idriensis",-0.25684,0.36484,0.46259,0.41598,-0.33894,0.18389,-0.37797,-0.2898
"s__un_f__Lachnospiraceae",0.13985,0.02361,0.28297,-0.21514,-0.24007,0.10765,0.29047,-0.13709
"s__Lechevalieria_xinjiangensis",-0.30051,-0.09997,-0.08728,-0.41508,0.03458,0.37891,-0.04175,-0.3283
"s__un_f__Paenibacillaceae_1",-0.28772,0.22041,0.42328,0.23859,0.10535,-0.25953,-0.07058,0.16723
"s__un_p__Bacteroidetes",-0.34099,0.27032,-0.11858,-0.03537,0.31543,0.22826,0.25796,0.10027
"s__Catelliglobosispora_koreensis",0.03929,0.08764,0.05609,-0.15673,-0.10622,0.13033,-0.21173,-0.00549
"s__un_g__Saccharibacteria_genera_incertae_sedis",0.69375,-0.02516,-0.07478,-0.08637,-0.43034,-0.25668,-0.09684,0.34537
"s__Nannocystis_exedens",-0.25024,-0.17998,-0.49721,-0.01437,0.13997,-0.24426,-0.11582,0.23729
"s__Paenibacillus_glycanilyticus",-0.49066,0.03899,0.12437,-0.04944,0.11425,-0.26555,0.09916,0.13282
"s__un_g__Novosphingobium",-0.18381,0.25559,0.03099,-0.50214,0.12761,0.07174,0.25542,0.06684
"s__un_g__Bdellovibrio",-0.16024,0.08214,-0.18347,-0.06294,0.24771,0.02528,0.33779,-0.00341
"s__un_g__Caulobacter",0.3981,0.25145,0.22081,-0.13505,0.19121,-0.00954,0.32641,0.08528
"s__un_g__Lysinibacillus",-0.28906,0.45217,0.07631,0.01629,-0.02765,-0.09291,0.15861,0.23399
"s__Brevibacillus_ginsengisoli",-0.01331,0.28543,-0.10568,-0.48741,-0.32013,-0.19597,0.08855,-0.03515
"s__Bauldia_consociata",0.02634,0.51539,0.50443,0.00156,-0.31616,-0.35995,-0.02661,0.27121
"s__un_g__Fictibacillus",0.20514,-0.04422,0.1024,0.10019,0.2008,-0.36823,0.20867,-0.13584
"s__Xenophilus_aerolatus",0.08522,-0.42871,-0.25001,-0.59847,0.14712,-0.15116,0.13031,-0.17048
"s__un_g__Terrimonas",-0.29383,0.06569,0.21139,0.20836,-0.16807,-0.56613,-0.01432,-0.04968
"s__un_g__Romboutsia",-0.28755,0.52262,0.20658,0.2272,0.48725,0.31337,-0.00098,0.05162
"s__un_g__Pantoea",-0.12415,0.18962,0.34405,0.30734,0.00593,-0.21931,-0.24568,0.19657
"s__un_g__Amaricoccus",-0.00031,-0.42071,0.28072,0.37782,-0.06696,-0.41708,-0.02272,-0.17834
"s__Lysobacter_dokdonensis",-0.07381,-0.0013,0.1776,0.60839,-0.12003,-0.06929,-0.0141,0.07793
"s__Cellulosimicrobium_funkei",-0.18488,-0.0407,0.30958,-0.21152,-0.16077,-0.14543,-0.14102,0.10538
"s__Pseudonocardia_parietis",0.17474,0.05704,0.20996,0.15999,-0.43356,-0.14367,-0.50227,-0.04092
"s__Paenibacillus_pectinilyticus",0.02053,-0.12779,0.2961,0.09326,-0.22259,-0.25515,0.04942,0.16601
"s__un_g__Pseudorhodoferax",-0.03859,-0.09229,-0.23226,-0.00761,-0.40697,-0.15936,-0.56402,0.081
"s__Flavobacterium_anhuiense",-0.02922,-0.00715,0.49858,-0.00732,-0.34418,0.00218,-0.07771,-0.49442
"s__un_f__Nannocystaceae",-0.10701,-0.02929,0.32014,0.01883,0.28105,-0.06016,0.23639,-0.21581
"s__un_g__Sphingopyxis",0.54405,0.13297,-0.08565,0.22094,0.08187,-0.17009,0.00588,0.54296
"s__un_f__Flavobacteriaceae",0.22383,-0.06553,0.43164,0.31448,-0.16348,-0.35356,-0.27982,-0.26848
"s__un_f__Bacillaceae_2",0.09737,0.49326,0.35514,-0.09932,-0.06943,0.13007,0.04596,-0.1392
"s__Cryptosporangium_minutisporangium",0.01701,-0.06124,0.13746,0.25731,-0.06481,-0.66345,-0.1056,-0.16637
"s__un_g__Armatimonadetes_gp5",-0.09586,-0.22653,-0.1752,0.43688,0.10072,-0.02246,0.2211,-0.18329
"s__Nocardioides_mesophilus",0.38761,-0.41645,-0.06302,0.05679,-0.21071,-0.22461,-0.0431,-0.50118
"s__Phytohabitans_houttuyneae",0.26585,0.15506,0.11916,-0.20853,-0.49702,-0.273,-0.29605,0.02328
"s__Arenimonas_metalli",0.69912,-0.20367,0.15486,0.04136,0.3204,-0.37873,0.31239,0.10461
"s__Brevundimonas_faecalis",0.46404,0.11678,-0.19839,0.1574,-0.01759,0.0094,0.06245,0.41484
"s__Rhodopseudomonas_rhenobacensis",0.0472,-0.46646,-0.22828,-0.332,0.42735,0.12854,0.21488,-0.25553
"s__un_g__Tumebacillus",-0.23766,-0.0242,0.15185,0.42349,-0.08421,-0.02257,-0.06594,-0.15116
"s__Pseudonocardia_kunmingensis",-0.12231,-0.09632,0.32542,-0.05832,-0.08151,-0.2045,-0.22614,-0.24899
"s__Reyranella_graminifolii",-0.24672,0.10933,-0.0975,0.27278,0.10341,-0.25945,-0.12902,-0.10009
"s__Nocardioides_panacisoli",-0.06995,0.15678,0.0748,0.51088,-0.08042,0.12149,-0.32107,0.07349
"s__un_g__Gp5",-0.31825,0.1444,0.38003,0.00166,0.24655,-0.29181,0.16839,0.01484
"s__un_f__Erythrobacteraceae",0.53543,0.15777,0.11844,-0.12094,-0.27574,-0.25864,-0.05876,0.07815
"s__Ignavibacterium_album",-0.23805,0.18172,0.07515,0.10639,-0.23194,-0.07438,0.04213,0.28494
"s__Solirubrobacter_taibaiensis",0.24598,0.07698,0.29109,0.49916,0.02475,-0.18677,-0.24248,0.0739
"s__Umezawaea_tangerina",-0.26413,0.0891,-0.27281,-0.3893,-0.05666,-0.20645,0.15886,0.2666
"s__un_g__Cellvibrio",0.07446,-0.29985,-0.23648,-0.45359,0.51945,-0.19937,0.27147,-0.12548
"s__Phytohabitans_flavus",-0.19224,-0.37068,-0.1735,-0.23464,-0.18453,-0.36565,-0.1152,-0.19932
"s__un_g__Brevibacillus",-0.07774,0.29125,-0.01587,0.12442,-0.07077,0.03696,-0.06657,0.23806
"s__un_g__Paenisporosarcina",0.35426,0.19279,0.38593,-0.09351,0.20324,-0.24911,0.18002,0.18459
"s__Actinophytocola_timorensis",0.14221,0.04611,0.36977,0.27445,-0.42567,-0.26241,-0.3126,-0.17452
"s__Paenibacillus_barcinonensis",-0.10133,0.2344,0.42628,0.63338,-0.50332,-0.30773,-0.01624,-0.26435
"s__Solirubrobacter_pauli",-0.11391,0.28174,-0.02158,-0.07662,0.32259,0.58877,0.01644,0.09193
"s__Burkholderia_heleia",-0.07939,-0.15215,-0.30863,-0.1308,0.56347,0.58041,0.02149,0.06195
"s__Aciditerrimonas_ferrireducens",-0.12023,-0.02616,0.09408,0.30612,-0.02108,-0.10213,0.06991,-0.29938
"s__Streptomyces_bullii",0.09131,-0.08969,0.4846,0.30083,-0.29381,-0.25591,-0.20526,-0.22399
"s__un_g__Methylophilus",0.26593,-0.1876,-0.057,-0.18546,0.01843,-0.20307,0.11498,-0.13528
"s__un_f__Verrucomicrobiaceae",-0.25519,-0.0832,-0.00676,0.2725,0.04523,-0.07613,0.2078,-0.54345
"s__Chryseobacterium_wanjuense",0.3683,-0.06537,-0.24108,-0.38508,0.36932,0.05338,-0.04621,0.10621
"s__Rubrivivax_gelatinosus",-0.00294,-0.42417,0.20416,0.38272,-0.12293,-0.28452,-0.04402,-0.394
"s__Turicibacter_sanguinis",-0.10384,0.18632,0.31304,0.04284,-0.05494,-0.06544,-0.10771,-0.02094
"s__Microvirga_aerilata",-0.33913,-0.10714,0.14976,0.07852,-0.25055,0.04754,-0.0881,-0.23135
"s__Schlegelella_aquatica",0.01076,-0.13939,-0.33853,-0.1811,0.18768,-0.03022,0.32105,0.10156
"s__un_f__Planococcaceae",-0.13759,0.33707,0.31491,-0.15073,-0.09775,0.03877,-0.00326,0.02536
"s__Brevundimonas_aveniformis",0.12341,0.37162,-0.27125,0.06601,-0.09768,0.08982,-0.27336,0.30249
"s__un_g__Blastopirellula",-0.14909,0.36673,0.14999,-0.05168,-0.11687,0.10664,-0.36518,-0.08825
"s__un_g__Ochrobactrum",0.60598,-0.27285,-0.28109,0.02846,0.52309,0.12227,0.02969,0.16399
"s__Marmoricola_bigeumensis",-0.01677,0.02133,-0.2508,-0.16111,-0.07979,-0.0682,0.16444,0.04271
"s__Amaricoccus_tamworthensis",-0.04814,0.33973,0.46488,0.00028,0.18155,0.10567,-0.0234,-0.0967
"s__Aquihabitans_daechungensis",-0.16865,-0.0381,0.31075,0.34306,0.05079,0.24015,-0.10441,-0.3305
"s__Sporacetigenium_mesophilum",-0.10232,-0.28552,-0.33902,-0.64438,0.19128,0.22117,-0.0729,0.06376
"s__Bdellovibrio_exovorus",0.41164,0.04254,0.23233,-0.16542,0.09437,0.1046,-0.03217,0.15597
"s__un_o__Sphingobacteriales",-0.0431,-0.07593,0.33473,-0.07431,-0.12114,-0.73541,0.32347,-0.09364
"s__un_o__Bacillales",-0.4001,-0.01705,-0.0832,0.0189,-0.02089,0.26952,0.12974,-0.5651
"s__un_o__Flavobacteriales",-0.27052,0.11418,0.08358,0.08758,-0.2955,-0.14505,-0.07182,-0.10165
"s__Byssovorax_cruenta",-0.11737,-0.13116,0.06898,-0.01856,-0.00265,-0.22274,0.12929,-0.37963
"s__Chryseolinea_serpens",-0.29879,-0.26831,-0.35901,0.09818,-0.17193,-0.07985,0.09836,-0.09776
"s__Devosia_riboflavina",-0.06404,0.53132,-0.08204,0.11844,-0.13705,0.17935,-0.30254,0.3748
"s__un_f__Iamiaceae",0.07914,-0.64371,-0.15034,-0.16659,0.4065,-0.0872,0.19461,-0.14213
"s__Marmoricola_scoriae",0.21746,0.22939,0.06799,-0.12672,-0.23693,0.05024,-0.34415,0.00322
"s__Yonghaparkia_alkaliphila",0.11536,0.32546,-0.08555,0.24385,-0.43009,-0.05409,-0.16455,0.2499
"s__Altererythrobacter_xinjiangensis",-0.15721,0.08013,-0.27325,-0.08987,0.2222,0.09663,0.17854,0.07197
"s__Bacillus_plakortidis",-0.40291,0.15466,0.0265,0.22904,-0.22232,-0.23891,-0.04718,-0.31871
"s__Nonomuraea_jabiensis",-0.54909,-0.20097,-0.30445,0.02291,0.00122,0.16392,0.11456,0.14898
"s__un_g__Rhizomicrobium",0.12556,-0.20093,0.43956,0.33672,-0.02496,-0.38665,-0.15975,0.0837
"s__Phreatobacter_oligotrophus",0.33512,0.20147,-0.00411,0.0144,-0.34304,-0.16569,-0.11799,0.35684
"s__un_g__Shinella",0.32822,0.36519,0.27357,-0.28302,0.15754,0.04244,-0.07389,0.18216
"s__Oligoflexus_tunisiensis",-0.17713,-0.22446,0.10414,0.47835,-0.22228,-0.15758,-0.20945,-0.41086
"s__Ramlibacter_henchirensis",0.39163,0.4379,0.15953,0.13942,-0.4248,-0.19427,-0.22771,0.01662
"s__Sphingorhabdus_planktonica",0.08058,0.10702,-0.32837,0.13835,0.14236,0.1613,0.30371,0.15972
"s__un_p__Planctomycetes",-0.19259,0.11427,-0.31732,-0.31643,-0.29873,-0.11991,-0.14765,0.03185
"s__Bacteriovorax_stolpii",0.38832,0.06982,-0.10675,-0.02244,0.02483,0.07904,-0.51928,-0.01451
"s__Nocardioides_daeguensis",-0.23395,0.23577,-0.10317,0.03941,-0.27931,0.26306,-0.22128,0.18504
"s__Cystobacter_gracilis",-0.15647,0.51426,0.22904,0.21925,-0.38658,0.19993,-0.60685,0.31444
"s__un_g__Planosporangium",-0.17688,0.17648,0.35068,0.21684,-0.05176,0.03185,-0.11373,0.00006
"s__un_c__Acidobacteria_Gp4",-0.00855,0.11309,0.62892,0.21884,-0.27005,-0.20088,-0.3374,-0.43104
"s__Rhizobium_rhizoryzae",0.31325,-0.49942,-0.14952,-0.1848,-0.00326,-0.04793,-0.07005,-0.05369
"s__Arenimonas_oryziterrae",0.37226,-0.42938,-0.33518,-0.06636,-0.37993,-0.39514,-0.21443,-0.03856
"s__un_g__Gracilibacillus",-0.31217,0.40869,0.33762,-0.02652,-0.37693,0.32801,-0.35351,-0.28623
"s__Nitrosospira_multiformis",-0.67904,0.09396,0.11321,0.02179,-0.24013,0.12362,-0.10721,-0.07873
"s__Mycobacterium_vaccae",-0.14466,0.28521,0.33124,-0.27565,-0.15296,-0.10913,0.05339,0.25181
"s__Phenylobacterium_koreense",-0.16921,0.04372,0.48634,0.29857,-0.26701,-0.44801,-0.01988,-0.38982
"s__un_g__Cupriavidus",0.05653,0.61584,0.50669,0.49563,-0.26729,0.01347,-0.41299,0.38791
"s__un_g__Rubrobacter",-0.61994,0.03423,0.07186,0.04086,-0.14823,0.01925,-0.06006,-0.54796
"s__Bacillus_invictae",-0.15418,-0.03815,0.23574,-0.1833,-0.15732,0.22946,-0.1428,-0.51072
"s__Microvirga_lupini",0.0645,0.05911,0.40127,0.07604,-0.37759,-0.24043,-0.00582,-0.16255
"s__Cystobacter_violaceus",0.03373,-0.32844,0.21289,-0.111,-0.27993,-0.16713,0.16827,-0.38779
"s__Streptomyces_fimbriatus",-0.02469,0.10254,0.38245,0.2754,-0.32957,-0.00768,-0.04498,-0.24716
"s__un_g__Cedecea",-0.36275,0.35582,0.32869,0.25776,0.32288,0.25443,-0.05205,0.06653
"s__un_f__Microbacteriaceae",-0.01493,0.51569,0.12203,0.07489,-0.26085,0.11074,-0.61159,0.13633
"s__un_o__Chlamydiales",-0.15841,0.01795,0.01392,0.03379,0.20491,0.36178,-0.12577,-0.36947
"s__Inquilinus_ginsengisoli",-0.4311,0.32019,0.54168,0.06873,-0.00967,-0.01254,-0.04607,-0.09784
"s__Methyloversatilis_universalis",0.17355,-0.16719,-0.14021,0.20329,0.13861,0.16498,-0.01457,0.06762
"s__Flavobacterium_hauense",0.20924,0.35625,0.1026,0.01913,0.26427,0.18869,-0.30606,0.46062
"s__un_g__Actinomadura",0.11184,-0.13188,0.41106,0.04129,-0.72317,-0.36518,-0.05366,-0.29692
"s__Flavobacterium_gyeonganense",-0.58917,-0.03925,0.08861,0.08112,0.25484,0.17585,0.28656,-0.32809
"s__un_g__Angustibacter",-0.30885,0.14375,0.11452,-0.12123,-0.38961,-0.3645,0.099,-0.32985
"s__Roseimicrobium_gellanilyticum",0.14872,0.3582,0.33665,0.33652,-0.28476,-0.24646,-0.47433,0.09282
"s__Rudaea_cellulosilytica",-0.04008,0.03795,0.39592,0.14874,-0.08358,-0.01494,0.18834,-0.22378
"s__un_f__Gracilibacteraceae",-0.28781,0.09837,0.34499,0.13874,-0.46342,0.05472,-0.26066,-0.20389
"s__Bacillus_horti",0.1239,-0.18709,0.40152,0.37042,-0.2664,-0.60183,0.09665,-0.32247
"s__un_g__Verrucosispora",-0.03964,0.03192,0.05066,-0.06933,0.10191,0.0491,0.11932,-0.20524
"s__un_g__Cohnella",-0.02763,0.12581,-0.02897,0.02212,0.12079,-0.3926,0.15142,0.33821
"s__un_p__Acidobacteria",0.12871,-0.10684,0.073,0.07083,0.15717,0.13995,0.04481,0.1825
"s__Starkeya_koreensis",0.09595,0.00995,0.34491,0.3699,-0.37676,-0.4849,-0.05738,-0.08114
"s__Nocardioides_terrigena",0.36613,0.45726,0.31215,0.1058,-0.36389,-0.22983,-0.06203,0.27182
"s__Archangium_gephyra",-0.29358,0.37641,0.23285,0.55512,-0.18421,-0.11586,-0.24566,0.20068
"s__Lacibacter_daechungensis",-0.53233,-0.13008,0.07289,0.06215,0.22264,0.10036,0.01411,-0.43919
"s__Azohydromonas_australica",0.39493,-0.2063,0.096,0.23535,-0.14456,-0.5979,0.14786,0.24737
"s__un_f__Burkholderiaceae",-0.31529,0.16782,0.29783,0.45671,-0.33828,-0.29576,-0.00888,-0.04128
"s__un_c__Clostridia",-0.07101,-0.06498,0.13637,-0.06771,0.00438,-0.42576,-0.18118,0.09334
"s__Flavobacterium_urocaniciphilum",0.31583,-0.02619,-0.36446,-0.17031,0.28041,-0.12253,-0.02034,0.40232
"s__un_g__Armatimonas/Armatimonadetes_gp1",-0.00971,0.24673,0.32611,0.19547,-0.21622,0.10167,-0.48828,0.03651
"s__Rhizomicrobium_electricum",-0.10625,0.27214,0.05559,-0.13742,-0.08801,0.0464,-0.17311,-0.02154
"s__Ammoniibacillus_agariperforans",0.18136,-0.05129,-0.09495,0.12374,-0.445,-0.07731,-0.05362,-0.21167
"s__Clostridium_roseum",-0.16137,0.18152,0.54775,0.18755,-0.06544,-0.13599,0.43062,-0.06086
"s__un_g__Stenotrophomonas",-0.25295,0.02773,0.23601,-0.08251,0.41942,-0.22642,0.22072,0.06884
"s__Nonomuraea_maritima",-0.17103,-0.10225,0.20761,0.24944,-0.33864,-0.08229,-0.45368,-0.49032
"s__Ensifer_saheli",-0.29242,-0.07894,-0.329,-0.02792,0.11757,0.00266,0.16451,-0.01495
"s__Bacillus_nealsonii",-0.29246,0.48154,0.18984,0.0731,-0.13026,-0.08866,-0.15502,0.49634
"s__un_g__Gp7",-0.2515,0.07037,0.21774,0.207,-0.51457,-0.06143,-0.54143,-0.00998
"s__Nocardia_salmonicida",0.09211,0.13244,-0.11514,-0.26215,-0.23573,-0.05249,0.12035,0.09733
"s__un_g__Gordonia",0.36001,0.16151,0.28174,0.06355,0.26359,0.12212,-0.04285,0.00359
"s__un_g__Plantactinospora",-0.1135,-0.27379,-0.06301,-0.25592,-0.38192,-0.16885,-0.11414,-0.47042
"s__un_g__Nitrososphaera",-0.08992,0.05183,0.40179,0.11099,-0.4656,-0.18058,-0.22359,-0.38707
"s__un_f__Sneathiellaceae",-0.04413,-0.51565,-0.13039,-0.31969,0.20479,-0.35181,0.42519,-0.3369
"s__Micromonospora_siamensis",-0.38963,0.2724,0.23578,-0.07842,0.00672,0.31831,0.03677,0.21074
"s__Arthrobacter_globiformis",0.22893,-0.28466,0.19404,0.0086,0.17212,0.09648,0.16482,-0.47897
"s__Clostridium_straminisolvens",-0.21253,0.09208,0.30426,0.26491,-0.36449,-0.43236,0.17231,-0.16368
"s__un_f__Leptospiraceae",-0.07216,-0.0514,-0.2614,-0.28456,0.06426,0.2112,-0.16937,-0.11132
"s__un_g__Enterobacter",-0.14167,0.46808,0.29114,0.1556,0.34356,0.15684,-0.21489,0.25792
"s__un_g__Clostridium_XI",-0.08714,0.07161,0.20114,0.31541,-0.00496,0.06433,0.02749,-0.24387
"s__Pseudoxanthomonas_indica",0.08206,0.20293,0.13984,-0.18777,0.10521,-0.10538,-0.08653,0.08528
"s__un_g__Gp25",-0.24219,-0.23347,0.09829,0.07952,-0.15799,-0.09901,0.05779,-0.1826
